strategy_id,strategy_name,category,source,entry_logic_summary,primary_exit_logic,stop_loss_atr_multiple,take_profit_atr_multiple,max_bars_held,auto_close_time,key_parameters,warmup_period,complexity_rating,implementation_notes
1,Overlay Bands (Bollinger Bands),Mean Reversion,TradingView Built-in,"Enter when price closes below lower Bollinger Band (20,2). Exit when price closes above middle band","Close when price closes above middle band",1.0,1.0,20,4pm EST,"bb_length: 20, bb_stddev: 2.0",50,Low,Simple and well-known indicator. Multiple entry signals over time. Consider using position size = volatility-adjusted.
2,Overlay Bands Moving Average,Mean Reversion,TradingView Built-in,"Enter when price is below SMA(50) and crosses above SMA(10). Close SMA(10) < SMA(50)","Close when SMA(10) < SMA(50)",1.0,1.0,20,4pm EST,"fast_ma: 10, slow_ma: 50",60,Low,Double SMA strategy. Frequent signals with clear logic. Should work well with entry+exit optimization.
3,Overlay Parabolic SAR,Trend Following,TradingView Built-in,"Enter when SAR flips from above price to below price (bullish signal). Exit when SAR flips back","Exit when SAR flips from below to above price",1.0,1.0,20,4pm EST,"sar_start: 0.02, sar_increment: 0.02, sar_max: 0.2",30,Low,Tracks trends with trailing stop behavior. May give late entries. Works best in trending markets.
4,Overlay Supertrend,Trend Following,TradingView Built-in,"Enter when Supertrend flips bullish (green). Exit when it flips bearish","Exit when Supertrend flips bearish",1.0,1.0,20,4pm EST,"st_length: 10, st_multiplier: 3.0",30,Low,ATR-based trend indicator. Similar to SAR but with customizable sensitivity via multiplier.
5,Momentum Strategy,Momentum,TradingView Built-in,"Enter when MOM(10) crosses above 0. Exit when MOM(10) crosses below 0","Exit when MOM(10) crosses below 0",1.0,1.0,20,4pm EST,mom_length: 10,20,Low,Rate-of-change indicator. May be choppy in sideways markets. Best during trending periods.
6,Volume Weighted MACD,Momentum,TradingView Built-in,"Enter when VWAP-weighted MACD crosses above signal. Exit when it crosses below","Exit when MACD crosses below signal line",1.0,1.0,20,4pm EST,"vwmacd_fast: 12, vwmacd_slow: 26, vwmacd_signal: 9",50,Medium,Combines volume and momentum. Requires volume data. More responsive to volume-driven moves.
7,Volatility Strategy,Breakout,TradingView Built-in,Enter when ATR(14) increases above threshold and price breaks high. Exit when ATR falls,Exit when ATR falls below threshold,1.0,1.0,20,4pm EST,"atr_length: 14, atr_threshold: 1.5",30,Low,Volatility expansion strategy. Look for breakouts during high volatility. May give false signals in chop.
8,CMO Strategy,Momentum,TradingView Built-in,"Enter when CMO(14) crosses above -50 (bullish). Exit when crosses below 50","Exit when CMO(14) crosses below 50",1.0,1.0,20,4pm EST,"cmo_length: 14, cmo_oversold: -50, cmo_overbought: 50",30,Low,Chande Momentum Oscillator. Similar to RSI but using different math. May give earlier signals.
9,Connors RSI,Mean Reversion,TradingView Built-in,"Enter when CRSI < 10 (extreme oversold). Exit when CRSI > 75","Exit when CRSI > 75 (overbought)",1.0,1.0,20,4pm EST,"crsi_length: 3, rsi_length: 2, streak_length: 2",10,Medium,Uses 3 components: RSI(3), RSI of ROC, up/down streak. Very responsive. May give many signals.
10,Psychological Line,Mean Reversion,TradingView Built-in,Enter when psychological line (% up days in N periods) < 25%. Exit when > 75%,Exit when psychological line > 75%,1.0,1.0,20,4pm EST,"psych_length: 12, psych_oversold: 25, psych_overbought: 75",20,Low,Tracks percentage of up days. Simple but effective mean reversion indicator.
